Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
LJP007_NPC_24H:C01	DB11800	Tivozanib	0.2549507248154492	1.2523507432469343	0.00020002000200020003	0.0003934379654867917	NPC
NMH002_NPC_6H:BRD-A75409952-001-06-5:10	DB08059	Wortmannin	0.23831359880773834	1.2661215481588441	0.00020024028834601522	0.0003935370519524786	NPC
NMH002_NEU_6H:BRD-K54028654-001-01-8:10	DB12310	Trehalose	-0.2586361572943718	-1.2647023756989635	0.00020030045067601402	0.0003935370519524786	NEU
LJP007_NEU_24H:P19	DB11886	Infigratinib	-0.26548898559021294	-1.2842609751902494	0.00020034057898427325	0.0003935370519524786	NEU
CPC018_NPC_24H:BRD-A71459254-001-02-8:10	DB13240	Cymarin	0.23666635512954168	1.260130784388524	0.0002003606491685033	0.0003935370519524786	NPC
NMH002_NEU_6H:BRD-K99792991-001-29-9:10	DB00756	Hexachlorophene	0.22439298527388216	1.288885649739636	0.00020056157240272763	0.00039378906847935984	NEU
LJP009_NPC_24H:K08	DB11962	GSK-1059615	0.25006372972524366	1.274502023017482	0.0002006823198876179	0.0003938835399024799	NPC
LJP009_NPC.TAK_24H:O04	DB07101	PD-0325901	-0.25033273701188963	-1.259688777825124	0.0002007628990162618	0.00039389913218711565	NPC.TAK
LJP007_NPC.CAS9_24H:C01	DB11800	Tivozanib	0.24896777833456446	1.2803712752811045	0.0002015519500151164	0.00039530424048172733	NPC.CAS9
LJP007_JURKAT_24H:M07	DB05575	Motesanib	-0.25238209267186873	-1.3139037230203943	0.00020247013565499088	0.0003969615132527171	JURKAT
LJP009_NPC_24H:E09	DB01782	Pyrazolanthrone	-0.24298059705561897	-1.2741045932539272	0.0002043318348998774	0.00040046676568920674	NPC
AML001_U937_6H:BRD-K43389675:0.37037	DB00694	Daunorubicin	-0.22140923892677145	-1.2688385155870623	0.00020699648105982198	0.0004055425999954533	U937
LJP007_NPC_24H:M14	DB07460	2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE	0.23169937775154376	1.2787296942885378	0.00020935831675913326	0.0004100217232881111	NPC
LJP009_NEU_24H:I04	DB11798	Tanzisertib	-0.2375188951520334	-1.3027677592499463	0.00021159542953872197	0.00041425343479728857	NEU
LJP009_NEU_24H:G10	DB08521	4-[4-(4-Fluorophenyl)-2-[4-[(R)-methylsulfinyl]phenyl]-1H-imidazol-5-yl]pyridine	0.21737698919743986	1.2796901800732712	0.0002126754572522331	0.00041621761265927827	NEU
NMH002_NEU_24H:BRD-A75409952-001-06-5:10	DB08059	Wortmannin	0.23549303051696246	1.2580675921347513	0.0002144082332761578	0.00041945737700454675	NEU
LJP009_NPC.TAK_24H:B17	DB11805	Saracatinib	0.23903849629601318	1.2949266417214595	0.00021498441363001182	0.0004203265355094926	NPC.TAK
NMH002_NPC_6H:BRD-K81418486-001-29-3:10	DB02546	Vorinostat	-0.23538773958788387	-1.2849626480230694	0.00021500752526338422	0.0004203265355094926	NPC
LPROT001_NPC.TAK_6H:A20	DB12387	OSI-027	0.23587790489169239	1.2880209792399748	0.00021602937999567941	0.00042217200998795297	NPC.TAK
LJP008_NPC.CAS9_24H:I04	DB16239	Molibresib	0.2168233213984533	1.2772203600412486	0.00021701388888888888	0.00042394319864713415	NPC.CAS9
CPC014_NPC_24H:BRD-A38878059-001-01-0:10	DB07557	3,20-Pregnanedione	-0.21585054895115433	-1.2549817365095024	0.00021734405564007825	0.0004244352948275637	NPC
CPC006_NOMO1_6H:BRD-K92241597-001-02-9:80	DB11781	Tosedostat	0.2263952469914996	1.2943543317030066	0.00022722108611679165	0.0004435636969083373	NOMO1
NMH001_NEU_6H:BRD-K32814891-001-01-1:10	DB12395	Esreboxetine	-0.21770512202325745	-1.2541733295917858	0.00022789425706472196	0.0004447177243835866	NEU
LJP008_NPC.CAS9_24H:F06	DB12376	Ricolinostat	-0.21554989082379955	-1.2630238822490765	0.00023337222870478414	0.0004552437396640448	NPC.CAS9
CPC006_SKM1_6H:BRD-K02113016-001-01-4:44.4	DB09074	Olaparib	0.21854496276120686	1.2711073349226907	0.0002384358607534573	0.00046495421534196296	SKM1
LJP008_NEU_24H:P13	DB11662	Rabusertib	-0.23038023737446733	-1.3157575287674237	0.00024263011039670022	0.0004729630081528776	NEU
LJP008_NPC.TAK_24H:G07	DB02546	Vorinostat	-0.2205077845031054	-1.2528160884612556	0.00025081514923501377	0.000488742563529098	NPC.TAK
LPROT002_NPC.TAK_6H:G20	DB04149	(R)-Rolipram	-0.2250551154384625	-1.2922253760236242	0.00026712969146520634	0.0005203463781665998	NPC.TAK
LJP009_NEU_24H:N12	DB08896	Regorafenib	-0.21626715288019416	-1.289923225557885	0.00027434842249657066	0.0005342159767321016	NEU
CPC016_NEU_24H:BRD-K68264559-045-01-6:10	DB00484	Brimonidine	0.22934084350607736	1.288473604956736	0.0002840909090909091	0.0005529881550610193	NEU
CPC015_NPC_24H:BRD-A62525898-001-04-5:10	DB00635	Prednisone	-0.21963192039910928	-1.2777221095429878	0.0002896451846488052	0.0005635973578580806	NPC
