Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
LJP007_NEU_24H:N13	DB09330	Osimertinib	-0.4298170410561545	-2.6721776277524816	<0.0001	<0.0001	NEU
LJP008_NEU_24H:G18	DB01254	Dasatinib	-0.44436583560884224	-2.66830644669102	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K25991148-001-01-7:10	DB14055	(S)-Warfarin	0.43695129447114844	2.6614158338876215	<0.0001	<0.0001	NEU
LJP008_NEU_24H:K24	DB12332	Rucaparib	-0.4529029886246499	-2.6518330880470407	<0.0001	<0.0001	NEU
NMH002_NEU_24H:BRD-K17953061-001-12-7:10	DB02010	Staurosporine	-0.4921186220687594	-2.6449609620959538	<0.0001	<0.0001	NEU
CPC016_NEU_24H:BRD-K07762753-001-02-8:10	DB07379	(2S)-2-({6-[(3-Amino-5-chlorophenyl)amino]-9-isopropyl-9H-purin-2-yl}amino)-3-methyl-1-butanol	-0.4423308685041636	-2.644656372741408	<0.0001	<0.0001	NEU
NMH002_NEU_6H:BRD-K13927029-001-02-7:10	DB00162	Vitamin A	-0.46728577858782744	-2.643970802474136	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K01493881-001-19-5:10	DB07352	Apigenin	0.42752790447494016	2.6328904455418223	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K54472332-001-01-8:10	DB09101	Elvitegravir	-0.433956430657312	-2.6321386360813515	<0.0001	<0.0001	NEU
NMH002_NEU_24H:BRD-K08807999-001-01-6:10	DB12445	Nitroaspirin	-0.4313132737067186	-2.6295200642777696	<0.0001	<0.0001	NEU
LJP007_NEU_24H:F01	DB12848	PF-04217903	0.4124297537374132	2.626087147379994	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I22	DB13005	Rebastinib	-0.47167253353691824	-2.6257863060791826	<0.0001	<0.0001	NEU
LJP007_NEU_24H:H08	DB09053	Ibrutinib	0.40097490266331803	2.624847425757088	<0.0001	<0.0001	NEU
CPC013_NEU_24H:BRD-K87909389-001-01-2:10	DB03496	Alvocidib	-0.4278953533956132	-2.624278863019026	<0.0001	<0.0001	NEU
LJP009_NEU_24H:E24	DB08901	Ponatinib	-0.4565347197699061	-2.6214933444725568	<0.0001	<0.0001	NEU
CPC016_NEU_24H:BRD-K12513978-001-16-7:10	DB08981	Fenbufen	0.44567640500896255	2.6198403531904084	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A12	DB07232	Veliparib	0.41777586716687815	2.6188731142270916	<0.0001	<0.0001	NEU
NMH002_NEU_6H:BRD-K77830450-001-03-2:10	DB02587	Colforsin	-0.4776068426910459	-2.614249021145202	<0.0001	<0.0001	NEU
LJP007_NEU_24H:B08	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide	-0.4523332135031696	-2.599912135099251	<0.0001	<0.0001	NEU
LJP007_NEU_24H:P12	DB07859	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	-0.45523237090542384	-2.5990614469400057	<0.0001	<0.0001	NEU
NMH001_NEU_24H:BRD-A75409952-001-04-0:10	DB08059	Wortmannin	-0.4265385197594781	-2.597527178132142	<0.0001	<0.0001	NEU
CPC015_NPC_24H:BRD-K15409150-001-01-7:10	DB13791	Penfluridol	-0.3853330990616478	-2.5971821043886516	<0.0001	<0.0001	NPC
LJP007_NEU_24H:D02	DB12494	SGI-1776	0.3948793997367309	2.595988272642231	<0.0001	<0.0001	NEU
LJP007_NEU_24H:F15	DB12247	AZD-4547	-0.42081044585070515	-2.595969632853888	<0.0001	<0.0001	NEU
LJP007_NEU_24H:C05	DB11800	Tivozanib	-0.4122236917862669	-2.590185046558668	<0.0001	<0.0001	NEU
CPC014_NPC_24H:BRD-K38615104-001-06-8:10	DB08073	(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE	-0.4363996452491067	-2.5851037940703976	<0.0001	<0.0001	NPC
LJP008_NEU_24H:M03	DB02709	Resveratrol	0.43104377155768125	2.582335775071322	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A11	DB07232	Veliparib	0.41035898007250415	2.5816876209439727	<0.0001	<0.0001	NEU
CPC016_NEU_24H:BRD-K63504947-001-05-5:10	DB06436	Semaxanib	-0.423625567827587	-2.5788652493867654	<0.0001	<0.0001	NEU
LJP009_NEU_24H:P20	DB09074	Olaparib	0.41690916411451806	2.576205080092385	<0.0001	<0.0001	NEU
LJP007_NEU_24H:C04	DB11800	Tivozanib	-0.4353365780176337	-2.5714741535682144	<0.0001	<0.0001	NEU
LJP008_NEU_24H:M05	DB02709	Resveratrol	0.41919112841734996	2.5711791535864363	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I11	DB06589	Pazopanib	0.4100017483651219	2.57056619549251	<0.0001	<0.0001	NEU
LJP008_NEU_24H:G19	DB00928	Azacitidine	-0.43995172558613044	-2.568590191045603	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I09	DB06589	Pazopanib	0.43491075185387745	2.5650231609894893	<0.0001	<0.0001	NEU
NMH002_NEU_6H:BRD-A93255169-001-21-8:10	DB01041	Thalidomide	-0.4801776841107125	-2.562086138281074	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I19	DB13005	Rebastinib	-0.4079908968102779	-2.5606630795743266	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O04	DB07101	PD-0325901	0.4058051978275869	2.558035555561479	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K43880410-001-07-8:10	DB02789	Pregnenolone	-0.45245759156469306	-2.5575627479362115	<0.0001	<0.0001	NEU
LJP007_NEU_24H:B03	DB00877	Sirolimus	-0.40905364853354936	-2.548585696428973	<0.0001	<0.0001	NEU
LJP007_NEU_24H:P05	DB09054	Idelalisib	0.42749257860149664	2.54783447013995	<0.0001	<0.0001	NEU
CPC012_NEU_24H:BRD-A75409952:10	DB08059	Wortmannin	-0.4547584922614307	-2.540790193491728	<0.0001	<0.0001	NEU
LJP008_NEU_24H:M06	DB02709	Resveratrol	0.4376848591679724	2.533505294196547	<0.0001	<0.0001	NEU
LJP007_NEU_24H:F06	DB12848	PF-04217903	0.4147110340752191	2.533168733145588	<0.0001	<0.0001	NEU
LJP007_NEU_24H:B17	DB12200	Tivantinib	-0.421612733638978	-2.5250475195562405	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K70557564-305-01-0:10	DB06191	Zosuquidar	0.4058010032224525	2.5242597874773898	<0.0001	<0.0001	NEU
NMH002_NEU_6H:BRD-K93754473-001-16-9:10	DB00675	Tamoxifen	-0.44031371274696474	-2.523870380234798	<0.0001	<0.0001	NEU
NMH002_NEU_6H:BRD-K41170226-001-10-4:10	DB03619	Deoxycholic acid	-0.42206892244157324	-2.521302736836453	<0.0001	<0.0001	NEU
CPC012_NPC_24H:BRD-A59985574-003-01-9:10	DB01030	Topotecan	-0.4162261110518622	-2.519413402265057	<0.0001	<0.0001	NPC
LJP007_NEU_24H:B13	DB12200	Tivantinib	-0.42634639922018663	-2.512323167473371	<0.0001	<0.0001	NEU
LJP007_NEU_24H:H12	DB09053	Ibrutinib	0.40835988252375366	2.511418263807998	<0.0001	<0.0001	NEU
LJP008_NEU_24H:I05	DB16239	Molibresib	0.44725978831283997	2.5072152451132768	<0.0001	<0.0001	NEU
CPC016_NEU_24H:BRD-K47631482-003-03-9:10	DB09019	Bromhexine	-0.40757174921785433	-2.507104035736687	<0.0001	<0.0001	NEU
LJP009_NEU_24H:B04	DB01204	Mitoxantrone	-0.40612521624168707	-2.5006827446483073	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K20	DB01590	Everolimus	0.41011534883074435	2.497555439916901	<0.0001	<0.0001	NEU
NMH002_NPC_6H:BRD-K81839095-001-19-4:10	DB00655	Estrone	-0.38414630398148647	-2.4946066766336044	<0.0001	<0.0001	NPC
LJP007_NEU_24H:C03	DB11800	Tivozanib	-0.4093225695826356	-2.493380320847443	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K24994810-001-01-9:10	DB01889	16,17-Androstene-3-Ol	0.4495420728171831	2.4913938403843656	<0.0001	<0.0001	NEU
LJP008_NEU_24H:D23	DB13978	Selisistat	-0.4522050670193787	-2.4909640945344877	<0.0001	<0.0001	NEU
LJP009_NEU_24H:H18	DB07138	Neflamapimod	-0.42736210301549127	-2.4877903135040893	<0.0001	<0.0001	NEU
LJP009_NEU_24H:G15	DB01254	Dasatinib	-0.4083124313241569	-2.486639500410052	<0.0001	<0.0001	NEU
LJP008_NEU_24H:F03	DB12376	Ricolinostat	-0.44559434074790377	-2.485323534144944	<0.0001	<0.0001	NEU
LJP009_NEU_24H:O22	DB07232	Veliparib	-0.41692735645485846	-2.481839380494341	<0.0001	<0.0001	NEU
