Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
LJP007_NEU_24H:O05	DB07101	PD-0325901	0.3219600396125271	2.3204173164593915	<0.0001	<0.0001	NEU
LJP007_NEU_24H:N14	DB09330	Osimertinib	0.36629059015227816	2.3178612320366243	<0.0001	<0.0001	NEU
LJP007_NPC_24H:D11	DB08875	Cabozantinib	0.37714956039822917	2.3122571615034917	<0.0001	<0.0001	NPC
LJP007_NPC.CAS9_24H:E20	DB12021	Dinaciclib	-0.3717855488687764	-2.311506434664367	<0.0001	<0.0001	NPC.CAS9
LJP007_JURKAT_24H:P24	DB11886	Infigratinib	0.40873972449641804	2.306812502258693	<0.0001	<0.0001	JURKAT
LJP007_NEU_24H:E01	DB11743	Ipatasertib	-0.3357464460760893	-2.3030938128474543	<0.0001	<0.0001	NEU
LJP007_NEU_24H:D07	DB08875	Cabozantinib	0.34022530335875095	2.30206259321283	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M06	DB07794	5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE	0.3251565835698585	2.2998484195396003	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K01507359-001-05-4:10	DB01045	Rifampicin	0.34036233088474505	2.299386597561399	<0.0001	<0.0001	NEU
CPC006_SKM1_6H:BRD-K78126613-001-16-0:10	DB00170	Menadione	-0.3523294712195343	-2.2921462984004375	<0.0001	<0.0001	SKM1
CPC018_NPC_24H:BRD-K06902185-001-10-2:10	DB00350	Minoxidil	-0.36763712982306784	-2.286619003187598	<0.0001	<0.0001	NPC
LJP007_NEU_24H:O01	DB07101	PD-0325901	0.3248167593266161	2.2849607289519716	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K20	DB01590	Everolimus	0.33311697167991994	2.2794540456631913	<0.0001	<0.0001	NEU
LJP008_NEU_24H:M04	DB02709	Resveratrol	0.3434453308154859	2.2730661932275713	<0.0001	<0.0001	NEU
LJP008_NEU_24H:N07	DB02665	(1R,2S)-2-Phenylcyclopropanaminium	0.34320775895971145	2.2729845973137706	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A07	DB07232	Veliparib	0.3566800201304239	2.2593653016134727	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M09	DB05575	Motesanib	0.3264392227156914	2.2577177162951676	<0.0001	<0.0001	NEU
LJP008_NEU_24H:D24	DB13978	Selisistat	-0.3424048124055281	-2.2561383812705245	<0.0001	<0.0001	NEU
LJP009_NEU_24H:B24	DB16107	BI 2536	-0.3453028420971485	-2.2454768827160905	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A09	DB07232	Veliparib	0.3244169633468784	2.2441771062467	<0.0001	<0.0001	NEU
NMH002_NEU_6H:BRD-A30142024-001-01-1:10	DB04447	1,4-Dithiothreitol	0.35381133047701513	2.2413321803961352	<0.0001	<0.0001	NEU
LJP007_NEU_24H:F06	DB12848	PF-04217903	0.3245747815407363	2.2338761202533757	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K19540840-001-02-9:10	DB11805	Saracatinib	-0.3606994634793784	-2.232415133706002	<0.0001	<0.0001	NEU
LJP007_NEU_24H:F01	DB12848	PF-04217903	0.311175663393707	2.232250443621728	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K02	DB12064	BMS-777607	0.3267810644774331	2.2295969336961408	<0.0001	<0.0001	NEU
LJP007_NPC_24H:B17	DB12200	Tivantinib	0.373244782461984	2.2275395641314493	<0.0001	<0.0001	NPC
CPC006_WSUDLCL2_6H:BRD-K73319509-001-02-3:40	DB12848	PF-04217903	0.3535044865529916	2.2218735893186348	<0.0001	<0.0001	WSUDLCL2
LJP007_NEU_24H:D02	DB12494	SGI-1776	0.29409580021061904	2.2202722615596002	<0.0001	<0.0001	NEU
LJP007_NEU_24H:D09	DB08875	Cabozantinib	0.3248167213277597	2.2194849937972823	<0.0001	<0.0001	NEU
CPC017_NPC_24H:BRD-K48970916-001-03-0:10	DB01406	Danazol	0.3572351568896183	2.2187012962040247	<0.0001	<0.0001	NPC
LJP008_NEU_24H:C11	DB13877	Iniparib	-0.3356294650783672	-2.2022486490193085	<0.0001	<0.0001	NEU
LJP009_NEU_24H:E24	DB08901	Ponatinib	-0.34220479162995443	-2.19857655017098	<0.0001	<0.0001	NEU
LJP007_NEU_24H:H07	DB09053	Ibrutinib	0.3525970247435839	2.1961661929135947	<0.0001	<0.0001	NEU
LJP007_NEU_24H:D05	DB12494	SGI-1776	0.3141501199211902	2.1944814167073967	<0.0001	<0.0001	NEU
CPC006_PL21_6H:BRD-K15108141-001-01-7:0.08	DB00441	Gemcitabine	-0.3679719235323653	-2.1900215736588198	<0.0001	<0.0001	PL21
CPC006_NOMO1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.36832926388736703	-2.189632191584566	<0.0001	<0.0001	NOMO1
NMH002_NEU_24H:BRD-K92723993-066-14-4:10	DB00619	Imatinib	0.3233026638245583	2.188229422010414	<0.0001	<0.0001	NEU
LJP007_NEU_24H:P04	DB09054	Idelalisib	0.3094917145996284	2.1803428782349976	<0.0001	<0.0001	NEU
LJP007_NEU_24H:B03	DB00877	Sirolimus	-0.3144853552682433	-2.1796025574268123	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I01	DB01268	Sunitinib	-0.30834065448587883	-2.1753315848119286	<0.0001	<0.0001	NEU
LJP009_NEU_24H:D01	DB11775	PF-03758309	-0.3363378685430308	-2.1752584107661406	<0.0001	<0.0001	NEU
NMH002_NPC_6H:BRD-A62336480-003-01-3:10	DB14068	Dexniguldipine	0.37778617146281507	2.169546739043274	<0.0001	<0.0001	NPC
NMH002_NPC_24H:BRD-K02637541-001-13-1:10	DB00482	Celecoxib	-0.310377915172027	-2.1678411995234343	<0.0001	<0.0001	NPC
LJP008_NEU_24H:M13	DB01262	Decitabine	0.31942515389217135	2.1664140773507303	<0.0001	<0.0001	NEU
LJP007_NEU_24H:E07	DB05913	OSI-930	0.36358927112203854	2.1631902537618157	<0.0001	<0.0001	NEU
LJP007_NEU_24H:E21	DB12021	Dinaciclib	-0.31837235855435336	-2.161929547568729	<0.0001	<0.0001	NEU
CPC016_NEU_24H:BRD-K86204871-001-02-2:10	DB00251	Terconazole	-0.36005051662959336	-2.1602729326605603	<0.0001	<0.0001	NEU
LJP007_NEU_24H:H08	DB09053	Ibrutinib	0.30485988544555787	2.1602433426332515	<0.0001	<0.0001	NEU
AML001_U937_24H:BRD-A45664787:10	DB01088	Iloprost	0.34040590898214756	2.1601843282254416	<0.0001	<0.0001	U937
CPC014_NEU_24H:BRD-K74733595-001-02-9:10	DB07350	(2E)-N-hydroxy-3-[1-methyl-4-(phenylacetyl)-1H-pyrrol-2-yl]prop-2-enamide	-0.35739222447145846	-2.1567552164942434	<0.0001	<0.0001	NEU
CPC015_NPC_24H:BRD-A41145729-001-02-7:10	DB08175	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	-0.31505485016458895	-2.1534238535198	<0.0001	<0.0001	NPC
LJP007_NEU_24H:H09	DB09053	Ibrutinib	0.3206345043223268	2.1519946530925704	<0.0001	<0.0001	NEU
CPC006_U937_6H:BRD-K76188144-001-01-2:160	DB08263	N-(carboxycarbonyl)-D-phenylalanine	0.382397524708225	2.149970163682357	<0.0001	<0.0001	U937
LJP007_NEU_24H:D04	DB12494	SGI-1776	0.3081045902066873	2.1483517030285797	<0.0001	<0.0001	NEU
LJP008_NEU_24H:D23	DB13978	Selisistat	-0.3478713572551771	-2.146250318247019	<0.0001	<0.0001	NEU
LJP008_NEU_24H:M06	DB02709	Resveratrol	0.3285434001331727	2.1427154080690496	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A12	DB07232	Veliparib	0.30691319566029923	2.1396228077438044	<0.0001	<0.0001	NEU
LJP007_NEU_24H:F04	DB12848	PF-04217903	0.3253005229062388	2.1375363306431217	<0.0001	<0.0001	NEU
NMH002_NPC_24H:BRD-K32610195-001-14-9:10	DB01536	Androstenedione	-0.3543495394731162	-2.1365476355124455	<0.0001	<0.0001	NPC
LJP007_NEU_24H:A14	DB12742	Amuvatinib	0.3093510000520482	2.1347899216342983	<0.0001	<0.0001	NEU
LJP007_NEU_24H:A03	DB02546	Vorinostat	-0.37256727327649924	-2.134231991346074	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:M01	DB07794	5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE	0.41285901285354687	2.131621749970035	<0.0001	<0.0001	JURKAT
NMH002_NPC_6H:BRD-K35960502-001-16-8:10	DB06803	Niclosamide	0.36969211123772316	2.130188027110456	<0.0001	<0.0001	NPC
LJP007_NEU_24H:I23	DB13005	Rebastinib	-0.37816993170831575	-2.1227972697323962	<0.0001	<0.0001	NEU
LPROT002_NPC.TAK_6H:K06	DB06803	Niclosamide	0.35455356140080996	2.1205284104797504	<0.0001	<0.0001	NPC.TAK
LJP008_NEU_24H:I05	DB16239	Molibresib	0.3371085572211842	2.1190228027651457	<0.0001	<0.0001	NEU
CPC015_NPC_24H:BRD-K76205745-001-04-1:10	DB00678	Losartan	-0.33261722121256676	-2.1113624069988637	<0.0001	<0.0001	NPC
CPC014_NEU_24H:BRD-K83794624-001-01-7:10	DB11616	Pirarubicin	-0.3547024612649063	-2.108610375660019	<0.0001	<0.0001	NEU
LJP009_NPC.CAS9_24H:B13	DB11805	Saracatinib	-0.32142305650803255	-2.106731126376706	<0.0001	<0.0001	NPC.CAS9
DOSBIO001_NEU_24H:BRD-A19037878:3.33333	DB04297	Trichostatin A	-0.368877306447407	-2.105926816241778	<0.0001	<0.0001	NEU
AML001_U937_24H:BRD-K43389675:0.37037	DB00694	Daunorubicin	-0.34919098201842286	-2.104005652632691	<0.0001	<0.0001	U937
NMH002_NEU_6H:BRD-K08316444-001-06-8:10	DB11457	Rotenone	0.3269003387463043	2.1024946534502136	<0.0001	<0.0001	NEU
NMH002_NPC_24H:BRD-K13927029-001-02-7:10	DB00162	Vitamin A	0.29012256676366666	2.102284506121426	<0.0001	<0.0001	NPC
LJP008_NEU_24H:C07	DB13877	Iniparib	0.3101449675366841	2.099606442350661	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K28428262-001-01-7:10	DB11958	Brivanib	-0.32598895889226437	-2.097471780176523	<0.0001	<0.0001	NEU
NMH002_NPC_24H:BRD-K99792991-001-29-9:10	DB00756	Hexachlorophene	0.33621205093298173	2.0967286619081515	<0.0001	<0.0001	NPC
LJP007_NEU_24H:K12	DB11962	GSK-1059615	0.3152567158935091	2.0962032761090836	<0.0001	<0.0001	NEU
NMH002_NEU_24H:BRD-A95074085-236-01-6:10	DB13242	Bucladesine	0.33142541740399367	2.095236472760694	<0.0001	<0.0001	NEU
LJP008_NEU_24H:C08	DB13877	Iniparib	-0.3088805006678217	-2.0918455750795744	<0.0001	<0.0001	NEU
LJP007_NEU_24H:P07	DB07859	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	0.3281679257627607	2.0844210064188466	<0.0001	<0.0001	NEU
