Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
LJP009_NEU_24H:E22	DB08901	Ponatinib	-0.36088870619510754	-2.343499094003828	<0.0001	<0.0001	NEU
LJP008_NEU_24H:F03	DB12376	Ricolinostat	-0.3813758840677833	-2.341220579836719	<0.0001	<0.0001	NEU
LJP009_NEU_24H:E24	DB08901	Ponatinib	-0.3706612305979444	-2.3357853561485107	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A09	DB07232	Veliparib	0.3480125310979183	2.335699765582589	<0.0001	<0.0001	NEU
LJP007_NEU_24H:D11	DB08875	Cabozantinib	0.38020410319712383	2.333543449046835	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A12	DB07232	Veliparib	0.3396339154153292	2.329937567124396	<0.0001	<0.0001	NEU
LJP008_NEU_24H:N07	DB02665	(1R,2S)-2-Phenylcyclopropanaminium	0.35860439972652364	2.328154780494006	<0.0001	<0.0001	NEU
CPC013_NEU_24H:BRD-K68202742-001-05-8:10	DB04297	Trichostatin A	-0.41015062381615214	-2.3273883649613323	<0.0001	<0.0001	NEU
CPC006_PL21_6H:BRD-K15108141-001-01-7:0.08	DB00441	Gemcitabine	-0.39843058400470405	-2.325128621302235	<0.0001	<0.0001	PL21
CPC006_WSUDLCL2_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.3673329212071631	-2.3243911991515542	<0.0001	<0.0001	WSUDLCL2
NMH002_NPC_24H:BRD-K99792991-001-29-9:10	DB00756	Hexachlorophene	0.38011804933682286	2.323210954441313	<0.0001	<0.0001	NPC
LJP007_NEU_24H:C04	DB11800	Tivozanib	-0.3577407943871166	-2.322913267136564	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I01	DB01268	Sunitinib	-0.3348693906744673	-2.322453738466021	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K83794624-001-01-7:10	DB11616	Pirarubicin	-0.3979347558946078	-2.3173992831761123	<0.0001	<0.0001	NEU
LJP008_NEU_24H:L24	DB05015	Belinostat	-0.38446854151547644	-2.3164357669477145	<0.0001	<0.0001	NEU
LJP008_NEU_24H:D23	DB13978	Selisistat	-0.38315766612595464	-2.315225258946036	<0.0001	<0.0001	NEU
LJP007_NPC_24H:D11	DB08875	Cabozantinib	0.3845342694962436	2.3133131883265823	<0.0001	<0.0001	NPC
LJP007_JURKAT_24H:I24	DB13005	Rebastinib	0.3828255697869481	2.310019794054658	<0.0001	<0.0001	JURKAT
